,ticker,short_name,long_name,currency,summary,category,family,exchange,market,total_assets
74,PSCI,Invesco S&P SmallCap Industrial,Invesco S&P SmallCap Industrials ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P SmallCap 600Â® Capped Industrials Index.
 The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC compiles, maintains and calculates the index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the industrial sector, as defined by the Global Industry Classification Standard.",Industrials,Invesco,NMS,us_market,99985568.0
58,PSCU,Invesco S&P SmallCap Utilities ,Invesco S&P SmallCap Utilities & Communication Services ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P SmallCap 600Â® Capped Utilities & Communication Services Index.
 The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC compiles, maintains and calculates the index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the utilities and communication services sectors, as defined by the Global Industry Classification Standard. The fund is non-diversified.",Utilities,Invesco,NGM,us_market,25614604.0
59,PUI,Invesco DWA Utilities Momentum ,Invesco DWA Utilities Momentum ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the Dorsey WrightÂ® Utilities Technical Leaders Index (the ""underlying index"").
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of at least 30 securities of companies in the utilities sector that have powerful relative strength or ""momentum"" characteristics.",Utilities,Invesco,NGM,us_market,49725920.0
25,PXE,Invesco Dynamic Energy Explorat,Invesco Dynamic Energy Exploration & Production ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the Dynamic Energy Exploration & Production IntellidexSM Index.
 The fund invests at least 90% of its total assets in the securities that comprise the underlying intellidex. The intellidex was composed of common stocks of U.S. companies involved in the exploration and production of natural resources used to produce energy. These companies are engaged principally in exploration, extraction and production of crude oil and natural gas from land-based or offshore wells. The fund is non-diversified.",Equity Energy,Invesco,PCX,us_market,59591184.0
26,PXJ,Invesco Dynamic Oil & Gas Servi,Invesco Dynamic Oil & Gas Services ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the Dynamic Oil Services IntellidexSM Index.
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index was composed of common stocks of U.S. companies that assist in the production, processing and distribution of oil and gas. The fund is non-diversified.",Equity Energy,Invesco,PCX,us_market,55915688.0
45,PZD,Invesco Cleantech ETF,Invesco MSCI Sustainable Future ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the MSCI Global Environment Select Index.
 The fund generally invests at least 90% of its total assets in the securities of companies that comprise the underlying index. The underlying index is a custom index comprised of companies that the index methodology has determined focus on offering products or services that contribute to a more environmentally sustainable economy by making a more efficient use of limited global natural resources.",,Invesco,PCX,us_market,515583776.0
75,RGI,Invesco S&P 500 Equal Weight In,Invesco S&P 500 Equal Weight Industrials ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P 500Â® Equal Weight Industrials Index (the ""underlying index"").
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500Â® Industrials Index, an index that contains the common stocks of all companies included in the S&P 500Â® Index that are classified as members of the industrials sector, as defined according to the Global Industry Classification Standard (""GICS"").",Industrials,Invesco,PCX,us_market,516826048.0
46,RLY,SPDR SSgA Multi Asset Real Retu,SPDR SSgA Multi-Asset Real Return ETF,USD,"The investment seeks to achieve real return consisting of capital appreciation and current income.
 Under normal circumstances, the Adviser invests at least 80% of the net assets of the fund among ETPs that provide exposure to the following primary asset classes: (i) inflation protected securities issued by the United States government; (ii) domestic and international real estate securities; (iii) commodities; (iv) publicly-traded domestic and international infrastructure companies; and (iv) publicly-traded companies in natural resources and/or commodities businesses.",World Allocation,SPDR State Street Global Advisors,PCX,us_market,86726088.0
60,RYU,Invesco S&P 500 Equal Weight Ut,Invesco S&P 500 Equal Weight Utilities ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P 500Â® Equal Weight Utilities Plus Index.
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500Â® Utilities Plus Index, an index that contains the common stocks of all companies included in the S&P 500Â® Index that are classified as members of the utilities sector, as defined according to the Global Industry Classification Standard (""GICS"").",Utilities,Invesco,PCX,us_market,202537216.0
27,SCO,ProShares UltraShort Bloomberg ,ProShares UltraShort Bloomberg Crude Oil,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the Bloomberg WTI Crude Oil SubindexSM.
 The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts, and option contracts) based on WTI sweet, light crude oil. It will not invest directly in oil.",Trading--Inverse Commodities,ProShares,PCX,us_market,79282648.0
61,SDP,ProShares UltraShort Utilities,ProShares UltraShort Utilities,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the Dow Jones U.S. UtilitiesSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index seeks to measure the performance of certain companies in the utilities sector of the U.S. equity market. The fund is non-diversified.",Trading--Inverse Equity,ProShares,PCX,us_market,2445817.0
76,SIJ,ProShares UltraShort Industrial,ProShares UltraShort Industrials,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the Dow Jones U.S. IndustrialsSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index seeks to measure the performance of certain companies in the industrial sector of the U.S. equity market. The fund is non-diversified.",Trading--Inverse Equity,ProShares,PCX,us_market,979590.0
28,UCO,ProShares Ultra Bloomberg Crude,ProShares Ultra Bloomberg Crude Oil,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Bloomberg WTI Crude Oil SubindexSM.
 The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts, and option contracts) based on WTI sweet, light crude oil. It will not invest directly in oil.",Trading--Leveraged Commodities,ProShares,PCX,us_market,1127778048.0
29,UGA,United States Gasoline Fund LP,"United States Gasoline Fund, LP",USD,"The investment seeks the daily changes in percentage terms of the spot price of gasoline.
 The fund invests in futures contracts for gasoline, other types of gasoline, crude oil, diesel-heating oil, natural gas and other petroleum-based fuels. The Benchmark Futures Contract is the futures contract on gasoline as traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration.",,USCF Investments,PCX,us_market,107934904.0
63,UGAZF,VelocityShares 3X Long Natural ,VelocityShares 3x Long Natural Gas ETN Linked to the S&P GSCI Natural Gas Index ER,USD,"The investment seeks to replicate, net of expenses, three times the performance of the S&P GSCI Natural Gas Index ER.
 The index comprises futures contracts on a single commodity and is calculated according to the methodology of the S&P GSCI Index.",Trading--Leveraged Commodities,Credit Suisse AG,PNK,us_market,43850880.0
30,UMI,USCF Midstream Energy Income Fu,USCF Midstream Energy Income Fund,USD,"The investment seeks a high level of current income; as a secondary objective, the fund seeks capital appreciation.
 The fund will seek to achieve its investment objectives by investing, under normal market conditions, at least 80% of its net assets in equity securities of U.S. and Canadian companies of any market capitalization deemed by the Sub-Adviser to be engaged in the midstream energy sector. It will invest more than 25% of the value of its total assets in the energy, oil, and gas industries. The fund is non-diversified.",Energy Limited Partnership,USCF Investments,PCX,us_market,
65,UNG,United States Natural Gas Fund ,"United States Natural Gas Fund, LP",USD,"The investment seeks to reflect the daily changes in percentage terms of the price of natural gas delivered at the Henry Hub, Louisiana, as measured by the daily changes in the price of a specified short-term futures contract.
 The fund invests primarily in futures contracts for natural gas that are traded on the NYMEX, ICE Futures Europe and ICE Futures U.S. (together, âICE Futuresâ) or other U.S. and foreign exchanges. The Benchmark Futures Contract is the futures contract on natural gas as traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration.",,USCF Investments,PCX,us_market,269783264.0
66,UNL,United States 12 Month Natural ,"United States 12 Month Natural Gas Fund, LP",USD,"The investment seeks to reflect the daily changes in percentage terms of the price of natural gas delivered at the Henry Hub, Louisiana, as measured by the daily changes in the average of the prices of specified short-term futures contracts on natural gas.
 The Benchmark Futures Contracts are the futures contracts on natural gas as traded on the New York Mercantile Exchange (the ""NYMEXâ) that are the near month contract to expire and the contracts for the following 11 months, for a total of 12 consecutive monthsâ contracts, except when the near month contract is within two weeks of expiration.",,USCF Investments,PCX,us_market,7944321.0
67,UPW,ProShares Ultra Utilities,ProShares Ultra Utilities,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Dow Jones U.S. UtilitiesSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index measures the performance of certain companies in the utilities sector of the U.S. equity market. Component companies include, among others, electric utilities, gas utilities, multi-utilities and water utilities. The fund is non-diversified.",Trading--Leveraged Equity,ProShares,PCX,us_market,13413841.0
31,USL,United States 12 Month Oil,"United States 12 Month Oil Fund, LP",USD,"The investment seeks to reflect the daily changes in percentage terms of the spot price of light, sweet crude oil delivered to Cushing, Oklahoma, as measured by the daily changes in the average of the prices of specified short-term futures contracts on light, sweet crude oil called the âBenchmark Oil Futures Contracts"".
 The fund invests primarily in futures contracts for light, sweet crude oil, other types of crude oil, diesel-heating oil, gasoline, natural gas, and other petroleum-based fuels. The Benchmark Oil Futures Contracts are the futures contracts on light, sweet crude oil as traded on the New York Mercantile Exchange.",,USCF Investments,PCX,us_market,226018512.0
32,USO,United States Oil Fund,"United States Oil Fund, LP",USD,"The investment seeks the daily changes in percentage terms of its sharesâ per share NAV to reflect the daily changes in percentage terms of the spot price of light, sweet crude oil delivered to Cushing, Oklahoma, as measured by the daily changes in the price of a specified short-term futures contract on light, sweet crude oil called the âBenchmark Oil Futures Contract,â plus interest earned on USOâs collateral holdings, less USOâs expenses.
 USO invests primarily in futures contracts for light, sweet crude oil, other types of crude oil, diesel-heating oil, gasoline, natural gas, and other petroleum-based fuels.",,USCF Investments,PCX,us_market,3074400256.0
33,USOI,Credit Suisse X-Links Crude Oil,Credit Suisse X-Links Crude Oil Shares Covered Call ETNs,USD,"The investment seeks a return linked to the performance of the price return version of the Credit Suisse Nasdaq WTI Crude Oil FLOWSTM 106 Index (the âindexâ). The index measures the return of a âcovered callâ strategy on the shares of the United States Oil Fund, LP (the âUSO Fundâ, and such shares the âUSO Sharesâ) by reflecting changes in the price of the USO Shares and the notional option premiums received from the notional sale of monthly call options on the USO Shares less the Notional Transaction Costs incurred in connection with the implementation of the covered call strategy.",,Credit Suisse AG,NGM,us_market,83962232.0
70,UTES,Virtus Reaves Utilities ETF,Virtus Reaves Utilities ETF,USD,"The investment seeks to provide total return through a combination of capital appreciation and income.
 The fund invests not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of companies in the Utility Sector (""Utility Sector Companies""). The manager considers a company to be a ""Utility Sector Company"" if at least 50% of the company&#39;s assets or customers are committed to, or at least 50% of the company&#39;s revenues, gross income or profits derive from, the provision of products, services or equipment for the generation or distribution of electricity, gas or water. The fund is non-diversified.",,Virtus,PCX,us_market,33119842.0
63,UTSL,Direxion Daily Utilities Bull 3,Direxion Daily Utilities Bull 3X Shares,USD,"The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Utilities Select Sector Index.
 The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes domestic companies from the utilities sector which includes the following industries: electric utilities; multi-utilities; water utilities and etc. The fund is non-diversified.",Trading--Leveraged Equity,Direxion Funds,PCX,us_market,18275846.0
77,UXI,ProShares Ultra Industrials,ProShares Ultra Industrials,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Dow Jones U.S. IndustrialsSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index seeks to measure the performance of certain companies in the industrial sector of the U.S. equity market. The fund is non-diversified.",Trading--Leveraged Equity,ProShares,PCX,us_market,38547132.0
78,VIS,Vanguard Industrials ETF,Vanguard Industrials Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index.
 The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index (IMI)/Industrials 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the industrials sector, as classified under the Global Industry Classification Standard (GICS). The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.",Industrials,Vanguard,PCX,us_market,5578500096.0
64,VPU,Vanguard Utilities ETF,Vanguard Utilities Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index.
 The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index (IMI)/Utilities 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the utilities sector, as classified under the Global Industry Classification Standard (GICS). The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.",Utilities,Vanguard,PCX,us_market,6270528000.0
34,XES,SPDR Series Trust SPDR S&P Oil ,SPDR S&P Oil & Gas Equipment & Services ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of an index derived from the oil and gas equipment and services segment of a U.S. total market composite index.
 In seeking to track the performance of the S&P Oil & Gas Equipment & Services Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas equipment and services segment of the S&P Total Market Index (""S&P TMI"").",Equity Energy,SPDR State Street Global Advisors,PCX,us_market,154757632.0
35,XLE,SPDR Select Sector Fund - Energ,Energy Select Sector SPDR Fund,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Energy Select Sector Index.
 In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund is non-diversified.",Equity Energy,SPDR State Street Global Advisors,PCX,us_market,23081066496.0
73,XLU,SPDR Select Sector Fund - Utili,Utilities Select Sector SPDR Fund,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Utilities Select Sector Index.
 In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: electric utilities; water utilities; multi-utilities; independent power and renewable electricity producers; and gas utilities. The fund is non-diversified.",Utilities,SPDR State Street Global Advisors,PCX,us_market,12360127488.0
36,XOP,SPDR S&P Oil & Gas Explor & Pro,SPDR S&P Oil & Gas Exploration & Production ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of an index derived from the oil and gas exploration and production segment of a U.S. total market composite index.
 In seeking to track the performance of the S&P Oil & Gas Exploration & Production Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas exploration and production segment of the S&P Total Market Index (""S&P TMI"").",Equity Energy,SPDR State Street Global Advisors,PCX,us_market,3828978432.0
